"sid","mode","orbit","cloud_flag","quality_flag","time","sif740_D","sif757_D","sif771_D","sif740","sif740_U","sif757","sif757_U","rad757","sif771","sif771_U","rad771","lon_1","lon_2","lon_3","lon_4","lat_1","lat_2","lat_3","lat_4","sza","saa","vza","vaa","pa","raa","humidity","surface_pressure","temp_skin","temp_2m","vpd","wind","igbp_class","percent_cover","lai_cop","incoming_sw_era5","incoming_direct_era5","incoming_diffuse_era5"
2020061216591137,3,6283,0,0,2020-06-12 16:59:21,0.0103349685668945,0.136663436889648,-0.0819225311279297,0.0240240097045898,0.273312568664551,0.317678451538086,0.241332054138184,50.3011016845703,-0.190430641174316,0.182036399841309,48.2652587890625,-107.321655273438,-107.302734375,-107.305114746094,-107.322326660156,39.0241088867188,39.0361938476562,39.0533447265625,39.0430297851562,31.7738037109375,110.236145019531,35.9114990234375,217.440490722656,-53.3309692975316,107.204345703125,0.00496959686279297,74496.0546875,293.0166015625,292.509765625,1652.39306640625,1.2311954498291,1,100,3.224,854.047,763.813,90.234
2020061216591138,3,6283,0,0,2020-06-12 16:59:21,0.0993080139160156,0.0623264312744141,0.046722412109375,0.23082447052002,0.28663444519043,0.144867897033691,0.249147415161133,51.8664207458496,0.108598709106445,0.193202018737793,47.7804908752441,-107.322631835938,-107.305419921875,-107.304809570312,-107.322875976562,39.044921875,39.0552368164062,39.0755615234375,39.0643920898438,31.7817993164062,110.265808105469,36.0794067382812,217.130554199219,-53.3420980209967,106.86474609375,0.00422954559326172,73659.5078125,293.221984863281,291.920257568359,1665.05578613281,1.24212455749512,1,100,3.144,854.047,763.813,90.234
2020061216591278,3,6283,0,0,2020-06-12 16:59:22,0.286138534545898,0.334793090820312,0.0311498641967773,0.665400505065918,0.284262657165527,0.778544425964355,0.24936580657959,48.6527786254883,0.0724372863769531,0.190287590026855,46.2831916809082,-107.241027832031,-107.223388671875,-107.222778320312,-107.242309570312,39.0982055664062,39.1087036132812,39.12890625,39.1165771484375,31.7371826171875,110.437377929688,36.0783081054688,217.178588867188,-53.2637988967326,106.7412109375,0.00364303588867188,72361.734375,293.088226318359,290.86865234375,1603.52514648438,1.23746013641357,1,100,4.225,853.994,763.76,90.234
2020061216591308,3,6283,0,0,2020-06-12 16:59:23,0.281070709228516,0.30588436126709,0.0459175109863281,0.653693199157715,0.276763916015625,0.711403846740723,0.240289688110352,45.3906555175781,0.106791496276855,0.186708450317383,44.2446212768555,-107.223327636719,-107.203857421875,-107.203735351562,-107.222778320312,39.1087036132812,39.12060546875,39.1403198242188,39.1289672851562,31.7262573242188,110.477783203125,36.0767211914062,217.193603515625,-53.2454048207054,106.7158203125,0.00339984893798828,71368.5625,293.056091308594,289.983825683594,1526.75756835938,1.2369441986084,1,100,2.954,853.249,763.022,90.227
2020061216591374,3,6283,0,0,2020-06-12 16:59:23,0.400514602661133,0.360354423522949,0.115777015686035,0.932028770446777,0.287042617797852,0.838573455810547,0.248288154602051,59.0077590942383,0.269420623779297,0.194170951843262,58.7442054748535,-107.178466796875,-107.157897949219,-107.160339355469,-107.177673339844,39.0528564453125,39.0665283203125,39.08447265625,39.0740356445312,31.6723022460938,110.446960449219,35.4127807617188,218.460876464844,-53.1639604877421,108.013916015625,0.00560092926025391,75259.421875,292.148590087891,293.530395507812,1717.1630859375,1.20514106750488,1,100,3.173,854.047,763.813,90.234
2020061216591404,3,6283,0,0,2020-06-12 16:59:23,0.275611877441406,0.185098648071289,0.121589660644531,0.641439437866211,0.26799201965332,0.430785179138184,0.23044490814209,52.9707107543945,0.282978057861328,0.182055473327637,51.3449325561523,-107.157897949219,-107.138732910156,-107.1416015625,-107.160278320312,39.0665283203125,39.0784912109375,39.0960693359375,39.0845336914062,31.6622314453125,110.483337402344,35.4093627929688,218.470397949219,-53.1442780954537,107.987060546875,0.00385951995849609,72110.9765625,292.116027832031,290.614624023438,1547.7431640625,1.20687866210938,1,100,2.645,854.047,763.813,90.234
2020061216591408,3,6283,0,0,2020-06-12 16:59:24,-0.0842256546020508,0.0402917861938477,-0.101728439331055,-0.195958137512207,0.267335891723633,0.0937423706054688,0.234214782714844,43.8977355957031,-0.236680030822754,0.179131507873535,42.0009269714355,-107.162475585938,-107.139465332031,-107.140808105469,-107.162109375,39.14794921875,39.1636962890625,39.1820068359375,39.1679077148438,31.691650390625,110.615661621094,36.0803833007812,217.233337402344,-53.1873519746952,106.61767578125,0.00373744964599609,72656.203125,292.995330810547,291.363708496094,1654.92712402344,1.23918151855469,1,100,2.324,852.422,762.203,90.2190000000001
2020061216591436,3,6283,0,0,2020-06-12 16:59:24,0.0497674942016602,0.293256759643555,-0.151266098022461,0.115819931030273,0.28659725189209,0.682476997375488,0.25175952911377,60.491813659668,-0.352032661437988,0.191648483276367,56.0118713378906,-107.142517089844,-107.120971679688,-107.119873046875,-107.142578125,39.1170043945312,39.1312255859375,39.1527709960938,39.137451171875,31.6659545898438,110.589416503906,35.740966796875,217.86328125,-53.1463470910486,107.273864746094,0.00326061248779297,70258.7109375,292.525665283203,288.8623046875,1416.22229003906,1.22470855712891,1,100,1.19,853.7,763.54,90.1600000000001
2020061216591472,3,6283,0,0,2020-06-12 16:59:24,0.44246768951416,0.208413124084473,0.254362106323242,1.03017711639404,0.28889274597168,0.485239028930664,0.24399471282959,50.5750389099121,0.592220306396484,0.198704719543457,49.4715957641602,-107.118774414062,-107.096862792969,-107.099853515625,-107.121032714844,39.0487670898438,39.0631713867188,39.0805053710938,39.0667114257812,31.6254272460938,110.502502441406,35.0739135742188,219.135864257812,-53.0872136793876,108.633361816406,0.00343990325927734,70457.09375,291.619323730469,288.942352294922,1404.15490722656,1.19796562194824,1,100,2.141,860.156,770.234,89.9219999999999
2020061216591605,3,6283,0,0,2020-06-12 16:59:26,0.379546165466309,0.256223678588867,0.166558265686035,0.883905410766602,0.271450996398926,0.596706390380859,0.233355522155762,53.4970245361328,0.387889862060547,0.184441566467285,53.7533340454102,-107.038269042969,-107.016235351562,-107.015319824219,-107.037719726562,39.1633911132812,39.1781616210938,39.199462890625,39.1843872070312,31.6015014648438,110.781066894531,35.5762939453125,218.246215820312,-53.0414459715954,107.465148925781,0.00387859344482422,72648.40625,292.224182128906,291.644104003906,1675.63122558594,1.23764324188232,1,100,3.539,857.297,767.344,89.953
2020061216591635,3,6283,0,0,2020-06-12 16:59:26,0.143038749694824,0.0778894424438477,0.0752191543579102,0.333157539367676,0.290863037109375,0.181414604187012,0.249822616577148,62.3944091796875,0.175196647644043,0.197754859924316,62.8844261169434,-107.016174316406,-106.995788574219,-106.995971679688,-107.015258789062,39.1781616210938,39.1912841796875,39.2114868164062,39.199462890625,31.5899658203125,110.827209472656,35.5774536132812,218.260375976562,-53.022412671302,107.433166503906,0.00427627563476562,74089.6328125,292.217498779297,293.348297119141,1857.71508789062,1.24367427825928,1,100,3.786,857.297,767.344,89.953
2020061216591637,3,6283,0,0,2020-06-12 16:59:26,0.853055953979492,0.636161804199219,0.334164619445801,1.98622703552246,0.365633964538574,1.48121643066406,0.323616981506348,85.4442977905273,0.778057098388672,0.243072509765625,82.7852935791016,-107.016723632812,-106.994567871094,-106.994079589844,-107.014709472656,39.2208251953125,39.2357788085938,39.2557373046875,39.242431640625,31.6053466796875,110.890502929688,35.9119873046875,217.639831542969,-53.0436766255671,106.749328613281,0.00431537628173828,74973.609375,292.682312011719,294.438385009766,2011.4130859375,1.25531101226807,1,100,2.964,857.297,767.344,89.953
2020061216591638,3,6283,0,0,2020-06-12 16:59:26,0.445362091064453,0.339937210083008,0.169252395629883,1.03688526153564,0.33597469329834,0.791437149047852,0.292330741882324,66.7916030883789,0.394051551818848,0.226290702819824,64.7183303833008,-107.014770507812,-106.994079589844,-106.994567871094,-107.014099121094,39.2445678710938,39.2579345703125,39.2770385742188,39.2648315429688,31.6126098632812,110.926635742188,36.0829467773438,217.331909179688,-53.0546798143761,106.4052734375,0.00475311279296875,77033.1796875,292.923797607422,296.849731445312,2342.81982421875,1.26180553436279,1,100,1.52,857.297,767.344,89.953
2020061216591674,3,6283,0,0,2020-06-12 16:59:26,0.281002998352051,0.328902244567871,0.0305118560791016,0.654621124267578,0.280879020690918,0.766208648681641,0.243034362792969,57.4199905395508,0.071080207824707,0.189957618713379,56.7279663085938,-106.998596191406,-106.976623535156,-106.973571777344,-106.99609375,39.167724609375,39.182373046875,39.2056274414062,39.1904296875,31.57177734375,110.836486816406,35.4112548828125,218.58203125,-52.9929261319823,107.745544433594,0.00364017486572266,71902.6484375,291.976470947266,290.921478271484,1613.2265625,1.24400901794434,1,100,2.586,857.297,767.344,89.953
2020061216591704,3,6283,0,0,2020-06-12 16:59:26,0.456501007080078,0.345687866210938,0.175319671630859,1.06359004974365,0.320291519165039,0.805410385131836,0.276432991027832,73.763542175293,0.408473014831543,0.217011451721191,73.0741653442383,-106.9765625,-106.953369140625,-106.952514648438,-106.973571777344,39.182373046875,39.1982421875,39.2193603515625,39.2056274414062,31.5604248046875,110.881774902344,35.4119262695312,218.595886230469,-52.9738727930466,107.714111328125,0.00410079956054688,73662.6171875,291.971496582031,293.029693603516,1835.08618164062,1.25139713287354,1,100,2.295,857.297,767.344,89.953
2020061216591733,3,6283,0,0,2020-06-12 16:59:27,0.245147705078125,0.22526741027832,0.0677299499511719,0.57127571105957,0.301251411437988,0.524949073791504,0.259015083312988,62.7343292236328,0.157834053039551,0.204666137695312,61.8080177307129,-106.9560546875,-106.933349609375,-106.931518554688,-106.953430175781,39.1744384765625,39.1897583007812,39.2117309570312,39.1972045898438,31.5419921875,110.891784667969,35.2450561523438,218.924438476562,-52.9450366584039,108.032653808594,0.00397586822509766,73096.0390625,291.728637695312,292.434722900391,1769.25817871094,1.25373649597168,1,100,2.254,857.297,767.344,89.953
2020061216591736,3,6283,0,0,2020-06-12 16:59:27,0.394429206848145,0.342357635498047,0.122365951538086,0.918784141540527,0.321768760681152,0.797487258911133,0.277880668640137,72.4710083007812,0.285038948059082,0.217913627624512,70.1200485229492,-106.952270507812,-106.932189941406,-106.931640625,-106.952087402344,39.241455078125,39.2542114257812,39.2752685546875,39.2620849609375,31.56396484375,110.992004394531,35.7451782226562,217.98974609375,-52.9755431158008,106.997741699219,0.00448894500732422,76454.3125,292.443145751953,296.499572753906,2318.29467773438,1.2698802947998,1,100,1.95,857.297,767.344,89.953
2020061216591771,3,6283,0,0,2020-06-12 16:59:27,0.280248641967773,0.372347831726074,0.000878334045410156,0.653251647949219,0.307726860046387,0.86793041229248,0.268638610839844,56.1846313476562,0.00204753875732422,0.206754684448242,55.5857963562012,-106.934509277344,-106.9130859375,-106.913696289062,-106.935302734375,39.1463623046875,39.160400390625,39.1798706054688,39.1656494140625,31.5166625976562,110.866882324219,34.9095458984375,219.578002929688,-52.9063672669585,108.711120605469,0.00337886810302734,70394.875,291.243804931641,289.207153320312,1441.98840332031,1.25164222717285,1,100,1.894,857.297,767.344,89.953
2020061216591772,3,6283,0,0,2020-06-12 16:59:27,0.374876022338867,0.355663299560547,0.0961141586303711,0.873758316040039,0.300411224365234,0.828978538513184,0.254848480224609,53.6078605651855,0.224021911621094,0.206010818481445,54.7035102844238,-106.934936523438,-106.913208007812,-106.911315917969,-106.933471679688,39.1669921875,39.1812744140625,39.2032470703125,39.1884765625,31.523681640625,110.901184082031,35.0762939453125,219.258666992188,-52.9161320639026,108.357482910156,0.0037078857421875,71938.5,291.482269287109,291.130920410156,1632.25610351562,1.25697708129883,1,100,2.693,857.297,767.344,89.953
2020061216591776,3,6283,0,0,2020-06-12 16:59:27,0.456508636474609,0.302101135253906,0.204384803771973,1.06351947784424,0.312760353088379,0.703799247741699,0.268708229064941,69.1135635375977,0.476150512695312,0.21259880065918,66.1511154174805,-106.93212890625,-106.911499023438,-106.909790039062,-106.931579589844,39.2542114257812,39.2675170898438,39.2896728515625,39.2752685546875,31.5526733398438,111.036865234375,35.74560546875,218.00341796875,-52.9563864639896,106.966552734375,0.00446701049804688,76921.78125,292.446685791016,297.198425292969,2441.06030273438,1.27813816070557,1,100,1.515,857.297,767.344,89.953
